Assembly_Acc,core,unique(merged$organism_id)
GCA_013267195.1,013267195.1,GCF_013267195.1
GCA_013340765.1,013340765.1,GCF_013340765.1
GCA_013343295.1,013343295.1,GCF_013343295.1
GCA_013388255.1,013388255.1,GCF_013388255.1
GCA_013391085.1,013391085.1,GCF_013391085.1
GCA_013391105.1,013391105.1,GCF_013391105.1
GCA_013401515.1,013401515.1,GCF_013401515.1
GCA_013402815.2,013402815.2,GCF_013402815.2
GCA_013402875.1,013402875.1,GCF_013402875.1
GCA_013407145.1,013407145.1,GCF_013407145.1
GCA_013407165.1,013407165.1,GCF_013407165.1
GCA_013407185.1,013407185.1,GCF_013407185.1
GCA_013415885.1,013415885.1,GCF_013415885.1
GCA_013415905.1,013415905.1,GCF_013415905.1
GCA_013456555.2,013456555.2,GCF_013456555.2
GCA_014876775.1,014876775.1,GCF_014876775.1
GCA_014962245.1,014962245.1,GCF_014962245.1
GCA_016065055.1,016065055.1,GCF_016065055.1
GCA_016906025.1,016906025.1,GCF_016906025.1
GCA_017094485.1,017094485.1,GCF_017094485.1
GCA_017094525.1,017094525.1,GCF_017094525.1
GCA_017352095.1,017352095.1,GCF_017352095.1
GCA_017352155.2,017352155.2,GCF_017352155.2
GCA_017357525.1,017357525.1,GCF_017357525.1
GCA_018141185.1,018141185.1,GCF_018141185.1
GCA_018228765.1,018228765.1,GCF_018228765.1
GCA_018502485.1,018502485.1,GCF_018502485.1
GCA_019175345.1,019175345.1,GCF_019175345.1
GCA_019669965.1,019669965.1,GCF_019669965.1
GCA_019704315.1,019704315.1,GCF_019704315.1
GCA_019823105.1,019823105.1,GCF_019823105.1
GCA_019880225.1,019880225.1,GCF_019880225.1
GCA_019880245.1,019880245.1,GCF_019880245.1
GCA_020097815.1,020097815.1,GCF_020097815.1
GCA_020097835.1,020097835.1,GCF_020097835.1
GCA_020150815.1,020150815.1,GCF_020150815.1
GCA_020217425.1,020217425.1,GCF_020217425.1
GCA_020405185.1,020405185.1,GCF_020405185.1
GCA_020405205.1,020405205.1,GCF_020405205.1
GCA_020614375.1,020614375.1,GCF_020614375.1
GCA_020614395.1,020614395.1,GCF_020614395.1
GCA_020618475.1,020618475.1,GCF_020618475.1
GCA_020700235.1,020700235.1,GCF_020700235.1
GCA_020886315.1,020886315.1,GCF_020886315.1
GCA_021184045.1,021184045.1,GCF_021184045.1
GCA_021233415.1,021233415.1,GCF_021233415.1
GCA_021233435.1,021233435.1,GCF_021233435.1
GCA_021249345.1,021249345.1,GCF_021249345.1
GCA_021249405.1,021249405.1,GCF_021249405.1
GCA_022869805.1,022869805.1,GCF_022869805.1
